country;latitude;longitude
Afghanistan;33.93911;67.709953
Albania;41.153332;20.168331
Algeria;28.033886;1.659626
Andorra;42.546245;1.601554
Angola;-11.202692;17.873887
Anguilla;18.220554;-63.068615
Antigua and Barbuda;17.060816;-61.796428
Argentina;-38.416097;-63.616672
Armenia;40.069099;45.038189
Aruba;12.52111;-69.968338
Australia;-25.274398;133.775136
Austria;47.516231;14.550072
Azerbaijan;40.143105;47.576927
Bahamas;25.03428;-77.39628
Bahrain;25.930414;50.637772
Bangladesh;23.684994;90.356331
Barbados;13.193887;-59.543198
Belarus;53.709807;27.953389
Belgium;50.503887;4.469936
Belize;17.189877;-88.49765
Benin;9.30769;2.315834
Bermuda;32.321384;-64.75737
Bhutan;27.514162;90.433601
Bolivia;-16.290154;-63.588653
Bosnia and Herzegovina;43.915886;17.679076
Botswana;-22.328474;24.684866
Brazil;-14.235004;-51.92528
British Virgin Islands;18.420695;-64.639968
Brunei;4.535277;114.727669
Bulgaria;42.733883;25.48583
Burkina Faso;12.238333;-1.561593
Burundi;-3.373056;29.918886
Cabo Verde;16.002082;-24.013197
Cambodia;11.562108;104.888535
Cameroon;7.3697219;12.354722
Canada;56.1303673;-106.3467712
CAR;6.611111;20.939444
Caribbean Netherlands;12.201890;-68.262383
Cayman Islands;19.313299;-81.254601
Chad;15.454166;18.732207
Channel Islands;49.372284;-2.364351
Chile;-35.675147;-71.542969
China;35.86166;104.195397
Colombia;4.570868;-74.297333
Congo;-4.322447;15.307045
Costa Rica;9.748917;-83.753428
Croatia;45.1;15.2
Cuba;21.521757;-77.781167
Cura?ao;12.169570;-68.990021
Cyprus;35.126413;33.429859
Czechia;49.817492;15.472962
Denmark;56.26392;9.501785
Djibouti;11.825138;42.590275
Dominica;15.414999;-61.370976
Dominican Republic;18.735693;-70.162651
DRC;-4.322447;15.307045
Ecuador;-1.831239;-78.183406
Egypt;26.820553;30.802498
El Salvador;13.794185;-88.89653
Equatorial Guinea;1.650801;10.267895
Eritrea;15.179384;39.782334
Estonia;58.595272;25.013607
Eswatini;-26.5;31.5
Ethiopia;9.145;40.489673
Faeroe Islands;61.505070; -6.769180
Falkland Islands;-51.796253;-59.523613
Fiji;-16.578193;179.414413
Finland;61.92411;25.748151
France;46.227638;2.213749
French Guiana;3.933889;-53.125782
French Polynesia;-17.679742;-149.406843
Gabon;-0.803689;11.609444
Gambia;13.443182;-15.310139
Georgia;42.315407;43.356892
Germany;51.165691;10.451526
Ghana;7.946527;-1.023194
Gibraltar;36.137741;-5.345374
Greece;39.074208;21.824312
Greenland;71.706936;-42.604303
Grenada;12.262776;-61.604171
Guadeloupe;16.995971;-62.067641
Guatemala;15.783471;-90.230759
Guinea;9.945587;-9.696645
Guinea-Bissau;11.803749;-15.180413
Guyana;4.860416;-58.93018
Haiti;18.971187;-72.285215
Honduras;15.199999;-86.241905
